case_id,ticker,company_name,announcement_date,filing_date,filing_type,accession_number,source_url,possible_signal_type,keyword_hits,excerpt_if_available,confidence,recommended_status
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-04-15,DEF 14A,0001628280-22-009340,https://www.sec.gov/Archives/edgar/data/1576263/000162828022009340/0001628280-22-009340-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-05-04,10-Q,0001628280-22-012295,https://www.sec.gov/Archives/edgar/data/1576263/000162828022012295/0001628280-22-012295-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-05-04,8-K,0001628280-22-012278,https://www.sec.gov/Archives/edgar/data/1576263/000162828022012278/0001628280-22-012278-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-05-12,8-K,0001628280-22-014127,https://www.sec.gov/Archives/edgar/data/1576263/000162828022014127/0001628280-22-014127-index.htm,sale_process,sale of the company,", a person is treated as a Consultant under this Plan only if a Form S-8 Registration Statement under the Securities Act is available to register either the offer or the sale of the Company’s securities to such person. (q) “ Continuous Service ” means that the Participant’s service with the Company or an Affiliate, whether as an Employee, Director or Consultant, is not interrupted or terminated. A 24. chan",LOW,POSSIBLE_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-05-16,8-K,0001628280-22-014521,https://www.sec.gov/Archives/edgar/data/1576263/000162828022014521/0001628280-22-014521-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-05-26,8-K,0001628280-22-015490,https://www.sec.gov/Archives/edgar/data/1576263/000162828022015490/0001628280-22-015490-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-06-06,8-K,0001193125-22-167931,https://www.sec.gov/Archives/edgar/data/1576263/000119312522167931/0001193125-22-167931-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-06-07,8-K,0001193125-22-168861,https://www.sec.gov/Archives/edgar/data/1576263/000119312522168861/0001193125-22-168861-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-08-03,10-Q,0001628280-22-020594,https://www.sec.gov/Archives/edgar/data/1576263/000162828022020594/0001628280-22-020594-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-08-03,8-K,0001628280-22-020587,https://www.sec.gov/Archives/edgar/data/1576263/000162828022020587/0001628280-22-020587-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-09-08,8-K,0001193125-22-240399,https://www.sec.gov/Archives/edgar/data/1576263/000119312522240399/0001193125-22-240399-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-11-08,10-Q,0001628280-22-028942,https://www.sec.gov/Archives/edgar/data/1576263/000162828022028942/0001628280-22-028942-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
RHC-0079-ACQUIRED-MRTX,MRTX,"Mirati Therapeutics, Inc.",2023-10-10,2022-11-08,8-K,0001628280-22-028936,https://www.sec.gov/Archives/edgar/data/1576263/000162828022028936/0001628280-22-028936-index.htm,,,Primary and complete submission text fetched.,LOW,LIKELY_NO_HIT
